"","Description","GeneRatio","geneID"
"GO:0002443","leukocyte mediated immunity","39/684","CX3CR1/C3/TREM2/CD84/LILRB4/ITGB2/CCL3/SYK/C1QC/NCKAP1L/FCGR3A/PTAFR/FCGR1A/PTPRC/ITGAM/HAVCR2/PTPN6/C4A/HLA-DRA/TYROBP/CD74/C1QA/BTN3A2/HLA-DRB1/C4B/C1QB/LAT2/INPP5D/SPI1/TGFB1/FCER1G/AHR/NLRP3/UNC93B1/CTSC/GAB2/IRAK4/BTN3A3/LAMP1"
"GO:0031529","ruffle organization","11/684","P2RY12/CSF1R/AIF1/RHOG/CYFIP1/LIMA1/CORO1B/SH3BP1/CAV1/ARHGAP24/CORO1C"
"GO:0001819","positive regulation of cytokine production","39/684","C3/TREM2/C3AR1/CD84/CSF1R/ARRDC4/CCL3/SYK/CCBE1/CYBB/FCGR3A/PTAFR/LAPTM5/PTPRC/AIF1/HAVCR2/IRF8/CD4/TYROBP/CD74/IRF5/BTN3A2/GPSM3/NAIP/TGFB1/IFNGR1/IL17RA/FCER1G/PSEN1/GPRC5B/NLRP1/BTN3A1/NLRP3/UNC93B1/CYBA/STING1/CARD8/SLC7A5/CD276"
"GO:0007159","leukocyte cell-cell adhesion","34/684","HLA-DRB5/CX3CR1/SELPLG/OLR1/CERCAM/LILRB4/ITGB2/DOCK8/SYK/ICOSLG/GPNMB/NCKAP1L/PTAFR/LAPTM5/PTPRC/AIF1/HAVCR2/PTPN6/CD44/CD4/HLA-DRA/SEMA4D/CD74/HLA-DRB1/HLA-DMA/HLA-DMB/SOCS6/CD24/SHB/NLRP3/SLC4A2/CAV1/CASP3/CD276"
"GO:0032930","positive regulation of superoxide anion generation","6/684","ITGB2/SYK/ITGAM/TYROBP/HVCN1/TGFB1"
"GO:0043547","positive regulation of GTPase activity","23/684","CCL3/DOCK8/DOCK10/SEMA4D/RASGRP3/RGS10/ARHGAP45/RHOG/RASGEF1C/TBC1D2/ARHGAP22/S100A10/GMIP/TBC1D12/PLXNB1/RGS9/MTSS2/SH3BP1/ARAP1/ARHGAP24/CORO1C/RAPGEF6/RALGDS"
"GO:2000392","regulation of lamellipodium morphogenesis","5/684","ENPP2/CD44/PDPN/CORO1B/CORO1C"
"GO:0018108","peptidyl-tyrosine phosphorylation","25/684","TREM2/CSF1R/LILRB4/ENPP2/ITGB2/SYK/ERBB3/TGFA/FCGR1A/PTPRC/PTPN6/CD44/CD4/SEMA4D/CD74/HCLS1/AATK/PDGFRA/DDR1/TGFB1/GPRC5B/FGFR2/CAV1/PDGFB/PDGFA"
"GO:0048771","tissue remodeling","19/684","LOC102724560/TF/TMEM119/CSF1R/SYK/SPP1/GPNMB/MMP2/INPP5D/CD38/IGFBP5/RASSF2/LIPA/TGFB1/CHD7/SLC4A2/MITF/CAV1/CRB1"
"GO:0048678","response to axon injury","12/684","MAG/TREM2/TNC/P2RY12/SPP1/TYROBP/MMP2/DPYSL3/CERS2/LRIG2/NEO1/GRN"
"GO:0071404","cellular response to low-density lipoprotein particle stimulus","8/684","TREM2/ITGB2/SYK/CD68/CD9/TGFB1/FCER1G/ABCA1"
"GO:0097305","response to alcohol","23/684","TNC/CCL3/TBXAS1/CYBB/PTPRC/A2M/SGK1/ST6GAL1/TGFBR1/MAOB/SREBF1/ABCA2/RGS19/LIPA/TGFB1/AHR/TP53INP1/ABCA1/FGFR2/ALAD/ADCY8/H6PD/DNMT3A"
"GO:0051235","maintenance of location","28/684","C3/TREM2/APLNR/CCL3/SCIN/CAPN3/PTPRC/PTPN6/CD4/SREBF1/SUN2/GSN/LIPA/MOSPD2/NAGLU/PSEN1/ABCA1/PLCD1/NOS1/CYBA/LTBP1/CHD7/CAV1/GM2A/NPC2/PKD2/SLC8B1/GAA"
"GO:0006636","unsaturated fatty acid biosynthetic process","9/684","TBXAS1/PTGS1/CD74/ELOVL1/SCD/CBR1/FADS2/DAGLB/SCD5"
"GO:0002455","humoral immune response mediated by circulating immunoglobulin","9/684","C3/TREM2/C1QC/PTPRC/PTPN6/C4A/C1QA/C4B/C1QB"
"GO:0030010","establishment of cell polarity","16/684","DOCK8/DOCK2/FRMD4B/PLEKHG3/LLGL1/AMOTL2/NEK3/NDE1/GSN/FAT1/SH3BP1/CRB1/CYTH1/CORO7/NUMA1/FSCN1"
"GO:0050890","cognition","25/684","CX3CR1/TREM2/CNTN2/SHROOM4/HLA-DRA/FOXO6/SGK1/KCNK10/BCHE/MAN2B1/PTPRZ1/CYFIP1/PSEN1/CHD7/TUBA1A/TANC1/CLN8/CTNS/MFSD2A/GM2A/NCSTN/ADCY8/NLGN3/CASP3/ASIC1"
"GO:0042135","neurotransmitter catabolic process","4/684","PRIMA1/MAOB/BCHE/COMT"
"GO:0060075","regulation of resting membrane potential","4/684","TREM2/KCNJ10/PSEN1/KCNJ2"
"GO:0010543","regulation of platelet activation","8/684","SYK/PDPN/PDGFRA/CD9/FCER1G/PDGFB/EMILIN1/PDGFA"
"GO:0089718","amino acid import across plasma membrane","8/684","GFAP/SLC6A9/KCNJ10/SLC38A5/PSEN1/CLN8/SLC6A6/SLC7A5"
"GO:0051647","nucleus localization","6/684","NTN1/SYNE3/CLMN/SUN2/BIN1/FHOD1"
"GO:0007626","locomotory behavior","17/684","GPR37/CNTN2/CNP/SELENOP/TAL1/ABCA2/KCNJ10/NAGLU/GRIN2D/MEIS1/CHD7/TUBA1A/CLN8/CTNS/STRN/ADCY8/GAA"
"GO:0002347","response to tumor cell","7/684","LAPTM5/HAVCR2/HLA-DRB1/IGFBPL1/SPI1/TGFB1/AHR"
"GO:0001755","neural crest cell migration","8/684","SOX10/SEMA4D/SEMA3B/SOX8/SEMA6A/SEMA5A/SEMA4C/CORO1C"
"GO:0051402","neuron apoptotic process","21/684","CX3CR1/MAG/TREM2/CCL3/ERBB3/BOK/TMTC4/NUPR1/NAIP/PTPRZ1/PSEN1/NLRP1/TUBA1A/UNC5B/PCDHGC3/CLN8/ATM/BACE1/NCSTN/GRN/CASP3"
"GO:0016125","sterol metabolic process","14/684","LIPE/APOC1/CYB5R2/SREBF1/CYP7B1/FAXDC2/CEBPA/LIPA/ABCA1/LIMA1/LSS/CLN8/NPC2/LBR"
"GO:0031099","regeneration","16/684","MAG/KLK6/TNC/GFAP/NINJ2/CAPN3/SPP1/MMP2/LGR6/LCP1/CD9/CERS2/LRIG2/NEO1/SLC7A5/GRN"
"GO:0050665","hydrogen peroxide biosynthetic process","4/684","CYBB/MAOB/CYBA/CTNS"
"GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","14/684","ST18/SYK/LAPTM5/CD44/BOK/RPS6KA1/GSN/NAIP/HIP1R/NLRP1/RFFL/NLRP3/HIP1/CARD8"
"GO:0042982","amyloid precursor protein metabolic process","10/684","KLK6/ABCA2/BIN1/IFNGR1/NAGLU/PSEN1/ITM2A/BACE1/NCSTN/CASP3"
"GO:0071470","cellular response to osmotic stress","7/684","CAPN3/EFHD1/RCSD1/NLRP3/MYLK/PKD2/CASP3"
"GO:0036005","response to macrophage colony-stimulating factor","4/684","TREM2/CSF1R/SPP1/DOK1"
"GO:0033674","positive regulation of kinase activity","23/684","TREM2/P2RY12/CSF1R/ERBB3/FCGR1A/PTPRC/CD4/CD74/HLA-DRB1/CD24/PDGFRA/DDR1/PROX1/RASSF2/TGFB1/GPRC5B/FGFR2/PDGFB/ADCY8/PSRC1/PKD2/LCP2/PDGFA"
"GO:0045730","respiratory burst","6/684","TREM2/CYBB/CD24/LIPA/CYBA/GRN"
"GO:0016202","regulation of striated muscle tissue development","4/684","ERBB3/CENPF/SIRT2/TGFB1"
"GO:0060560","developmental growth involved in morphogenesis","18/684","MAG/TNC/SPP1/SEMA4D/NTN1/SALL1/SEMA3B/SEMA6A/DDR1/SEMA5A/RND2/CYFIP1/DISC1/FGFR2/SEMA4C/LZTS2/NLGN3/NKD1"
"GO:0052372","modulation by symbiont of entry into host","7/684","TRIM59/CD4/CD74/HLA-DRB1/GSN/TRIM62/CAV1"
